iter,reward_mean,policy_loss,value_loss,entropy,approx_kl,adv_std,clip_frac,early_stop,elapsed_min
0,-0.6815786361694336,-0.01044484717771411,12.607323760986327,-2.37885488986969,0.03317112430930138,0.9999998807907104,0.10421875,0,0.03107513189315796
1,-0.7383725643157959,0.005265008881688118,11.467721862792969,-2.491004686355591,0.08551303684711456,1.0,0.079375,1,0.05667459567387899
2,-0.782185971736908,0.010308108329772948,9.61194065093994,-2.484519624710083,0.07380297899246216,1.0,0.073125,1,0.08251534700393677
3,-0.6278465986251831,-0.004594311888019244,9.701125170389812,-2.43886536916097,0.04621179223060608,1.0,0.07625,1,0.11129241784413656
4,-0.6366449594497681,0.01351340964436531,9.34099510192871,-2.482777338027954,0.07408165395259857,1.0,0.08875,1,0.13726193110148113
5,-0.7062139511108398,-0.007219665199518204,8.819568920135499,-2.5184802436828613,0.12008409202098846,1.0,0.10625,1,0.16284695466359456
6,-0.7396520972251892,0.00970553958788514,10.864577894210816,-2.406779806613922,0.03145851030945778,0.9999999403953552,0.06359375,0,0.19308364788691204
7,-0.5497571229934692,-0.0018541751522570848,9.03250548839569,-2.359267163276672,0.01610763818025589,0.9999998807907104,0.0840625,0,0.2234932025273641
8,-0.6278398633003235,0.007674987390637398,9.653543643951416,-2.4831583309173584,0.08606774985790253,1.0,0.065,1,0.2490196386973063
9,-0.7587721943855286,0.006488603055477143,11.348543014526367,-2.4753006172180174,0.05128497898578644,0.9999998807907104,0.055625,1,0.2747582236925761
10,-0.5268458724021912,-0.0035746166203171016,12.801790294647217,-2.353769512176514,0.026660272926092146,1.0,0.09421875,0,0.3056028087933858
11,-0.7502074837684631,0.0020962650328874587,12.398242034912109,-2.474193992614746,0.06477054119110108,1.0,0.049375,1,0.3313417037328084
12,-0.7858178019523621,0.0048675091564655305,11.497218933105469,-2.502662601470947,0.06373766839504241,1.0,0.07,1,0.35658742586771647
13,-0.6677365899085999,0.016891990527510642,10.191852474212647,-2.538274784088135,0.08377408921718597,1.0,0.08875,1,0.38156015078226724
14,-0.7754503488540649,0.01074289046227932,11.643402214050292,-2.479154796600342,0.06282000362873078,1.0,0.12375,1,0.40628455877304076
15,-0.6211515665054321,0.0077270610630512234,9.853650970458984,-2.5309720134735105,0.079444500207901,0.9999998807907104,0.076875,1,0.43171215454737344
16,-0.6563670039176941,0.021344783380627633,11.692957935333252,-2.5441168403625487,0.08674012780189515,0.9999998807907104,0.10375,1,0.45666823784510296
17,-0.7705206871032715,0.0007005691342055798,10.972635192871094,-2.4207588696479796,0.041026691198349,1.0,0.088125,0,0.48733086983362833
18,-0.7234211564064026,0.008147430270910264,10.06476511001587,-2.4410264396667483,0.04776785314083099,1.0,0.054375,1,0.5125309785207113
19,-0.6543969511985779,-0.002040577884763479,9.907738299369813,-2.3551369428634645,0.012744816094636917,1.0,0.055,0,0.5427341143290202
20,-0.4992173910140991,-0.004202200938016177,9.124355182647705,-2.364391305446625,0.01872906669974327,1.0,0.0903125,0,0.5737827698389689
21,-0.7249718308448792,0.004726058430969715,11.625635142326354,-2.4082580399513245,0.03905904144048691,1.0,0.0615625,0,0.6039181351661682
22,-0.7302067279815674,0.003391283005475998,16.428445625305176,-2.3970100593566896,0.045549808740615844,1.0,0.045,1,0.6302364309628804
23,-0.6452770829200745,-0.0017286820895969868,12.648523464202881,-2.347689101696014,0.005533307343721389,1.0,0.0390625,0,0.6611810485521953
24,-0.7473986744880676,0.0052185473218560215,10.550357794761657,-2.410118374824524,0.024956907480955123,1.0000001192092896,0.03890625,0,0.6908828059832255
25,-0.8370351791381836,0.007370267659425735,15.167547874450683,-2.468232536315918,0.05279203176498413,1.0,0.053125,1,0.716745662689209
26,-0.7761503458023071,-0.0021719435788691045,11.85244854450226,-2.3587020945549013,0.0143396957218647,1.0,0.056875,0,0.7477752447128296
27,-0.7860100269317627,0.010200350582599639,11.108643846511841,-2.4375924324989318,0.04506130829453468,1.0,0.0559375,1,0.7775358478228251
28,-0.5403542518615723,-0.005227817352861166,14.648506813049316,-2.3554289054870607,0.027180551141500472,0.9999999403953552,0.1103125,0,0.8086374163627624
29,-0.8394767045974731,0.003725352957844734,13.834104461669922,-2.4676654624938963,0.04771834433078766,1.0,0.1075,1,0.834329346815745
30,-0.6374616026878357,0.0010051083005964757,9.93738112449646,-2.350365571975708,0.010015546083450318,1.0,0.0471875,0,0.8647646307945251
31,-0.8433449268341064,0.0028932524472475053,11.560972251892089,-2.528481025695801,0.08456160068511963,0.9999999403953552,0.108125,1,0.8903822422027587
32,-0.7037485241889954,0.004611446708440781,6.475799980163575,-2.446254348754883,0.05647263884544373,1.0,0.066875,1,0.9156289935112
33,-0.6953743100166321,0.003588831722736359,7.877354717254638,-2.436830368041992,0.045142223238945005,0.9999999403953552,0.080625,1,0.9426034291585287
34,-0.8424250483512878,0.007525530457496643,8.318465061187744,-2.4216697597503662,0.052892953753471375,1.0,0.203125,1,0.9686063687006633
35,-0.8481619954109192,0.0012347909808158874,9.55668607711792,-2.479315004348755,0.05788535416126251,1.0,0.073125,1,0.9941893259684245
36,-0.804298996925354,0.000725206583738327,7.453616075515747,-2.466298666000366,0.05292868196964264,1.0,0.079375,1,1.0193080027898154
37,-0.752839207649231,-0.00013218391686677932,9.686223282814026,-2.36552894115448,0.021953350007534025,1.0,0.09671875,0,1.0500192801157633
38,-0.7263517379760742,0.003784317336976528,10.999016885757447,-2.3991002821922303,0.03222822785377502,1.0,0.0665625,0,1.0806111097335815
39,-0.8356608152389526,-0.002639111056923866,10.052471294403077,-2.5055029678344725,0.07538720250129699,0.9999999403953552,0.055,1,1.1059405167897542
40,-0.7722113132476807,-0.0012618174776434898,11.075775361061096,-2.419503021240234,0.04434414565563202,1.0,0.0525,0,1.1360369523366292
41,-0.8323411345481873,0.007826760858297348,10.445320405960082,-2.531147289276123,0.09103515446186065,1.0,0.090625,1,1.1614218711853028
42,-0.8523977398872375,0.0020345903933048247,8.16916404724121,-2.5057819747924803,0.0693979525566101,1.0,0.063125,1,1.1868790149688722
43,-0.838854968547821,0.0019476804137229919,8.441999626159667,-2.5156295776367186,0.08312708616256714,1.0,0.059375,1,1.2122544606526693
44,-0.648700475692749,0.010192533582448959,10.569787197113037,-2.4629866313934325,0.05056935369968414,1.0000001192092896,0.05,1,1.2381497740745544
45,-0.6680597066879272,0.0033951961994171144,9.410820655822754,-2.515454816818237,0.08956001102924346,1.0,0.099375,1,1.2641100764274598
46,-0.7626377940177917,0.006186709217727185,9.719461369514466,-2.4106678199768066,0.04051090925931931,1.0,0.09703125,0,1.29456311861674
47,-0.7651506066322327,0.0019288127310574054,8.244433481693267,-2.351567325592041,0.01310735359787941,0.9999998807907104,0.078125,0,1.3246465484301249
48,-0.6621857285499573,0.010515787452459336,7.390647869110108,-2.6293665313720704,0.108198122382164,1.0,0.113125,1,1.3499619205792746
49,-0.7932806015014648,0.0124877168238163,8.88555612564087,-2.6432227420806886,0.15207321643829347,0.9999998807907104,0.135625,1,1.3744050145149231
50,-0.7459436058998108,0.0084416239336133,8.041146326065064,-2.4558024311065676,0.04559310555458069,0.9999999403953552,0.0453125,1,1.401978596051534
51,-0.6376263499259949,0.001965652257204056,8.4870458984375,-2.467229061126709,0.05671350717544556,1.0,0.05375,1,1.4283478498458861
52,-0.843769907951355,0.003979380056262016,8.313675088882446,-2.6428423881530763,0.1276009523868561,0.9999998807907104,0.10375,1,1.4535230159759522
53,-0.6817976236343384,0.00019030895084142684,6.921636568705241,-2.4570000553131104,0.04513484497865041,0.9999999403953552,0.04541666666666667,1,1.48327427705129
54,-0.5643538236618042,-0.0011940524354577065,8.405680198669433,-2.395586712360382,0.04004508271813392,0.9999999403953552,0.0890625,0,1.513819416364034
55,-0.5857842564582825,0.0019759221747517584,4.231792936325073,-2.4518912124633787,0.06027934491634369,1.0000001192092896,0.08375,1,1.53842804034551
56,-0.4198668897151947,0.010471092462539673,12.213447151184083,-2.3387725257873537,0.04972381889820099,1.0,0.095625,1,1.5648082693417866
57,-0.3304706811904907,0.010561020970344543,5.634983730316162,-2.45802698135376,0.07303188025951385,1.0,0.090625,1,1.5905763665835062
58,-0.3106991946697235,-0.010529201906174422,3.6308800959587098,-2.360473384857178,0.040264793634414674,1.0,0.13,0,1.6206924120585124
59,-0.4698723256587982,0.011766511462628842,8.441826391220093,-2.3604663133621218,0.04673053056001663,1.0,0.12125,1,1.6477993329366047
60,-0.4414966106414795,0.021006552949547768,7.895036315917968,-2.3134715938568116,0.06065275490283966,0.9999999403953552,0.155,1,1.673560639222463
61,-0.42739158868789673,0.007826492041349411,7.714945564270019,-2.3773639011383056,0.05745919167995453,0.9999999403953552,0.074375,1,1.6987658301989237
62,-0.4012191593647003,0.008579023741185665,4.283179302215576,-2.3651918029785155,0.06107474982738495,0.9999998807907104,0.106875,1,1.7239523847897849
63,-0.40772804617881775,0.013903752863407136,7.296905536651611,-2.4184144020080565,0.09425108313560486,1.0,0.11875,1,1.7496607462565104
64,-0.32757696509361267,0.01347777809947729,5.0786559200286865,-2.265241026878357,0.05640880197286606,1.0,0.1684375,1,1.7768596371014913
65,-0.32825490832328796,-0.006007203673943877,3.937377405166626,-2.3517997455596924,0.03543607339262962,0.9999999403953552,0.0946875,0,1.8076789061228433
66,-0.3196445405483246,-0.00682253435254097,3.683421740531921,-2.2806636810302736,0.055247100293636324,0.9999999403953552,0.181875,1,1.8342945138613382
67,-0.36483755707740784,0.002817670926451683,4.210412874221801,-2.2981040620803834,0.049384701848030094,0.9999998807907104,0.1328125,1,1.8613306085268657
68,-0.323233038187027,-0.0011240245215594768,2.371084816455841,-2.2586718940734865,0.02921306520700455,1.0,0.12203125,0,1.8914072275161744
69,-0.3020499646663666,-0.01670363940298557,5.125627021789551,-2.422954587936401,0.04722732365131378,0.9999998807907104,0.05,1,1.916631539662679
70,-0.2986447513103485,-0.00777201060205698,2.4520571064949035,-2.30929545879364,0.024929179549217223,1.0000001192092896,0.14484375,0,1.947309676806132
71,-0.2792140245437622,-0.0033897464722394944,2.879896956682205,-2.2609631872177123,0.05138251200318336,1.0,0.16546875,1,1.9775262196858725
72,-0.3136429190635681,0.003920964300632477,2.9645350790023803,-2.3143390369415284,0.05538597941398621,1.0,0.098125,1,2.00292014280955
73,-0.2693047523498535,-0.001168597638607025,3.015232630968094,-2.2693181228637695,0.04354180812835693,0.9999998807907104,0.1703125,0,2.0337879141171773
74,-0.2744889557361603,-0.0020286733905474346,2.3261673736572264,-2.291713129679362,0.046637220482031505,1.0,0.14854166666666666,1,2.0621898889541628
75,-0.26178592443466187,0.0010855047032237053,2.3332996654510496,-2.259168186187744,0.046086648106575014,0.9999998807907104,0.07375,1,2.087752632300059
76,-0.33550044894218445,-0.0032185253873467444,4.413155131340027,-2.322755937576294,0.024678089022636414,1.0,0.08359375,0,2.117923108736674
77,-0.29952284693717957,-0.010040840161964297,2.70495640873909,-2.2956245803833006,0.03121803417801857,0.9999999403953552,0.11890625,0,2.149143882592519
78,-0.27891165018081665,-0.010656968280673028,2.366384811401367,-2.271494390964508,0.045647933185100555,0.9999999403953552,0.148125,1,2.1800610423088074
79,-0.3100440204143524,0.006217058002948761,1.9439141249656677,-2.3088593769073484,0.04855586796998978,0.9999998807907104,0.08375,1,2.205492957433065
80,-0.2601128816604614,-0.0006861395575106144,1.8772393250465393,-2.2514317774772645,0.03893055081367493,0.9999999403953552,0.13109375,0,2.236855947971344
81,-0.2569235861301422,-0.0049199735559523105,1.9260154736042023,-2.256107234954834,0.04075186893343925,1.0000001192092896,0.1209375,0,2.267440712451935
82,-0.30666717886924744,0.007822354435920715,2.132930567264557,-2.298943033218384,0.04887590050697327,1.0,0.101875,1,2.2936984022458393
83,-0.2197996973991394,-0.0012055324576795102,3.443473074436188,-2.2881521248817442,0.03294426411390305,0.9999999403953552,0.08484375,0,2.32445516983668
84,-0.3211551606655121,0.008809587806463242,3.1060200214385985,-2.3233489418029785,0.054157261848449705,1.0,0.115625,1,2.3506005803743997
85,-0.310017853975296,-0.002129248455166817,2.425534865061442,-2.283406550089518,0.045784731109937034,0.9999998807907104,0.12125,1,2.379620401064555
86,-0.21860839426517487,0.0005083647184073925,2.6368893551826478,-2.2563760709762573,0.03972569346427918,1.0,0.134375,0,2.4103793581326802
87,-0.2931673228740692,-0.008418008293956518,2.140809455513954,-2.276047291755676,0.03619449734687805,1.0,0.12859375,0,2.44109361966451
88,-0.2803918123245239,-0.0031869309581816197,3.372656172513962,-2.2789638519287108,0.027477971017360686,1.0,0.0965625,0,2.4720246116320292
89,-0.23117075860500336,0.0037971100211143492,5.015646715164184,-2.316564884185791,0.04994579970836639,0.9999999403953552,0.063125,1,2.497746002674103
90,-0.24195727705955505,-0.005887555005028844,2.5789620143175127,-2.275819182395935,0.03912622720003128,0.9999999403953552,0.116875,0,2.527830111980438
91,-0.31064221262931824,-0.0075569463334977625,3.5333050644397734,-2.361556444168091,0.04587494298815727,1.0,0.085,1,2.558155663808187
92,-0.2859653830528259,-0.002013316750526428,4.858624567985535,-2.3017818570137023,0.03824569657444954,0.9999998807907104,0.11671875,0,2.5887579282124835
93,-0.2641904652118683,-0.005412977952510119,2.020429027080536,-2.242163348197937,0.031218749582767488,1.0,0.1315625,0,2.618795696894328
94,-0.1986905187368393,-0.006769378948956728,3.4147886633872986,-2.3405715227127075,0.01068513721227646,1.0,0.0684375,0,2.648874592781067
95,-0.3106754720211029,0.0021623577922582626,2.9581914472579958,-2.301296396255493,0.04827079087495804,0.9999999403953552,0.0915625,1,2.6752640048662824
96,-0.2833799123764038,-0.0019610539078712464,1.9246268240610758,-2.3134687455495198,0.04516390025615692,1.0,0.10416666666666667,1,2.7041638215382893
97,-0.2874795198440552,-0.004836987126618624,2.6623255968093873,-2.2932056546211244,0.045362470149993894,1.0,0.1,1,2.734832990169525
98,-0.27753040194511414,-0.005220712954178452,2.803083199262619,-2.264792010784149,0.03465198956429958,1.0,0.11390625,0,2.7649994055430094
99,-0.25640374422073364,-0.005673323944211006,3.9517530632019042,-2.417444610595703,0.05997820019721985,1.0,0.060625,1,2.7903392712275186
100,-0.2530190944671631,-0.007699756268411875,2.8151814246177675,-2.2674829030036925,0.03331425607204437,0.9999998807907104,0.18203125,0,2.8214613993962607
101,-0.19759686291217804,-0.0038333793729543684,2.508624588251114,-2.2996418929100035,0.014251958578824997,1.0,0.103125,0,2.8519433458646137
102,-0.3070213496685028,-0.004269480872899294,2.4233593958616257,-2.268909840583801,0.03988326638936997,0.9999999403953552,0.1321875,0,2.8827746391296385
103,-0.305830717086792,0.007819755226373673,2.7763182640075685,-2.3033870220184327,0.051126487255096435,1.0,0.063125,1,2.9081434567769366
104,-0.2483690232038498,0.009596890956163406,2.1065474939346314,-2.2481628131866453,0.04798926830291748,1.0,0.0775,1,2.9333412925402325
105,-0.2795473337173462,0.004508943939581514,3.0603464007377625,-2.2898595905303956,0.03954851254820824,0.9999998807907104,0.12078125,0,2.9641634424527488
106,-0.25448495149612427,-0.007991837225854398,2.2657530188560484,-2.2599885654449463,0.02630765825510025,0.9999998807907104,0.129375,0,2.9944623629252116
107,-0.24017779529094696,0.0005218805931508541,2.27949888586998,-2.304964234828949,0.04706513822078705,1.0,0.11234375,1,3.0251715501149494
108,-0.24295319616794586,-0.007121387030929327,3.510128149986267,-2.273463237285614,0.021680752485990523,0.9999998807907104,0.11265625,0,3.0561462958653767
109,-0.07636584341526031,-0.0007055973261594772,1.980460337996483,-2.328383412361145,0.01282877817749977,1.0,0.0390625,0,3.0869849642117817
110,-0.2141687572002411,-0.009597142059355974,2.689843165874481,-2.228940496444702,0.035833777636289595,1.0,0.1203125,0,3.117010807991028
111,-0.22792933881282806,-0.008631042223423719,2.4916973304748535,-2.221997458934784,0.022034265995025636,1.0,0.1134375,0,3.147754693031311
112,-0.22434867918491364,-0.0029637051559984686,2.3489922177791596,-2.240505917072296,0.028165401071310044,0.9999999403953552,0.1221875,0,3.178201945622762
113,-0.2030181884765625,-0.00044010521844029427,2.019569149017334,-2.2473236179351805,0.03143058493733406,1.0000001192092896,0.09875,0,3.2089348594347635
114,-0.2538268268108368,-0.0010106517001986504,1.6590440940856934,-2.297599956989288,0.017980673462152482,0.9999999403953552,0.0684375,0,3.240609566370646
115,-0.21368175745010376,-0.005959558309987187,2.281499959230423,-2.227014219760895,0.03403702810406685,1.0,0.1090625,0,3.2710983316103617
116,-0.2362748235464096,-0.002236333116889,2.099087061882019,-2.2376920056343077,0.03337969243526459,0.9999998807907104,0.1025,0,3.3023149569829306
117,-0.1979530155658722,-0.007264764131978154,2.3148932600021364,-2.2367648005485536,0.03170924738049507,0.9999998211860657,0.11125,0,3.333436977863312
118,-0.24385327100753784,-0.009886318063363432,2.2081435906887052,-2.250062882900238,0.02881648436188698,1.0,0.09984375,0,3.359167718887329
119,-0.37716418504714966,-0.003980810772627592,3.884743033647537,-2.304267101287842,0.023061594814062118,1.0,0.09609375,0,3.384222757816315
120,-0.2026606649160385,-0.012950631733983755,2.3759337973594667,-2.2284447503089906,0.036005088239908216,1.0,0.15296875,0,3.409301018714905
121,-0.23926419019699097,-0.009948128405958413,1.8296440994739533,-2.2333095717430114,0.028160610049962998,1.0,0.1184375,0,3.4345144708951314
122,-0.2278888076543808,-0.007065393971279263,1.7121011769771577,-2.222877781391144,0.029659344851970672,1.0,0.09640625,0,3.4598252137502032
123,-0.2123975157737732,-0.009198501426726579,1.3896265882253647,-2.297333986759186,0.012972127944231034,1.0,0.08015625,0,3.484807745615641
124,-0.16705891489982605,-0.0050343419797718525,1.751533834338188,-2.327319746017456,0.010756742358207703,0.9999999403953552,0.053125,0,3.5097691655158996
125,-0.1888156533241272,-0.007063787244260311,2.208905247449875,-2.249795401096344,0.02701877549290657,1.0,0.110625,0,3.535115738709768
126,-0.21067248284816742,0.000200967937707901,2.8723304045200346,-2.259765872955322,0.032159924358129505,1.0,0.10875,0,3.5602969765663146
127,-0.15460419654846191,-0.008028839156031609,2.4202699100971223,-2.3072829389572145,0.016891151815652847,1.0,0.0853125,0,3.5850657343864443
128,-0.24001586437225342,-0.008625722853466869,2.948057284355164,-2.243114628791809,0.0204404579102993,1.0,0.109375,0,3.6098742485046387
129,-0.18251197040081024,-0.004043232128024102,2.3701123607158663,-2.2299942898750307,0.02728238210082054,0.9999998807907104,0.10796875,0,3.634562595685323
130,-0.18663577735424042,-0.0014707326889038086,2.229240716099739,-2.2584911513328554,0.017357823550701142,0.9999999403953552,0.0846875,0,3.659848630428314
131,-0.1895906925201416,-0.011449821395799517,2.1850431358814237,-2.2546552085876463,0.027983692213892936,1.0000001192092896,0.15390625,0,3.685124854246775
132,-0.1903994381427765,-0.005732430359348655,1.4117071849107743,-2.2280736422538756,0.030160565748810767,1.0,0.12734375,0,3.7099865635236102
133,-0.24177895486354828,-0.010260241366922855,1.840484243929386,-2.258840718269348,0.03219212219119072,0.9999999403953552,0.09796875,0,3.7346572597821552
134,-0.1759796440601349,-0.005675444304943085,2.281954540014267,-2.2640198636054993,0.02820422112941742,0.9999998807907104,0.11640625,0,3.7593600392341613
135,-0.1974085569381714,-0.006831238605082035,1.53215014398098,-2.2933716917037965,0.010522996336221694,1.0,0.09375,0,3.784349485238393
136,-0.18311330676078796,-0.007774098161607981,1.8592047148942947,-2.302200131416321,0.022884982526302337,0.9999998807907104,0.10921875,0,3.809097146987915
137,-0.1642036736011505,-0.0025354977883398533,2.0043775284290315,-2.2515303683280945,0.030005407184362412,1.0,0.10140625,0,3.83402019739151
138,-0.17033319175243378,-0.003823464345186949,1.6645695996284484,-2.235739588737488,0.02989687442779541,0.9999999403953552,0.10171875,0,3.859187038739522
