ep,env,kills_rule,kills_br,winner,exposure_rule,exposure_br,mean_trace_P_rule,mean_trace_P_br
12,0,1,1,0,4.487409,2.3984632,0.0,6.440911
12,1,1,1,0,4.487409,2.4177797,0.0,6.2703824
12,2,1,1,-1,4.487409,2.561692,0.043033596,0.7868559
12,3,1,1,-1,4.487409,2.5615747,0.043321975,0.7868559
12,4,1,1,-1,4.487409,2.5615566,0.043264046,0.7868559
12,5,2,1,0,4.4647164,2.5905886,0.0,0.0
12,6,1,1,-1,4.487409,2.5619578,0.043490104,0.7868559
12,7,1,1,-1,4.487409,2.561806,0.04337733,0.7868559
13,0,1,1,-1,4.487409,2.5615,0.043197967,0.7868559
13,1,1,1,0,4.487409,2.4139202,0.0,6.119872
13,2,1,1,-1,4.487409,2.5618489,0.043404732,0.7868559
13,3,1,1,-1,4.487409,2.5615616,0.043309372,0.7868559
13,4,1,1,0,4.487409,2.4159458,0.0,5.7680364
13,5,1,1,-1,4.487409,2.5618792,0.04337099,0.7868559
13,6,1,1,-1,4.487409,2.5616074,0.04318695,0.7868559
13,7,1,1,-1,4.487409,2.5616417,0.04323439,0.7868559
14,0,1,1,0,4.487409,2.5338123,0.0,2.5785975
14,1,1,1,-1,4.487409,2.561523,0.04317142,0.7868559
14,2,1,1,-1,4.487409,2.5617247,0.043424543,0.7868559
14,3,1,1,-1,4.487409,2.561727,0.043268755,0.7868559
14,4,1,1,-1,4.487409,2.561426,0.043273065,0.7868559
14,5,1,1,-1,4.4957695,2.635664,0.0,0.0
14,6,1,1,-1,4.487409,2.5617301,0.043347176,0.7868559
14,7,2,1,0,4.4647183,2.6538677,0.0,0.0
15,0,1,1,-1,4.487409,2.561703,0.043379124,0.7868559
15,1,1,1,-1,4.487409,2.5617907,0.043310568,0.7868559
15,2,1,1,-1,4.487409,2.5614743,0.043106027,0.7868559
15,3,1,1,0,4.492186,2.411977,0.0,6.014329
15,4,1,1,1,4.471881,2.5679708,0.018270034,0.0
15,5,1,1,0,4.499352,2.391488,0.0,6.1056476
15,6,1,1,-1,4.487409,2.5615976,0.043222707,0.7868559
15,7,1,1,-1,4.487409,2.561771,0.043362975,0.7868559
16,0,1,1,-1,4.487409,2.5616734,0.043068837,0.7868559
16,1,1,1,-1,4.487409,2.5618522,0.043208968,0.7868559
16,2,1,1,-1,4.487409,2.5615816,0.043357942,0.7868559
16,3,1,1,-1,4.487409,2.561699,0.04326968,0.7868559
16,4,1,1,-1,4.487409,2.5617433,0.04321847,0.7868559
16,5,1,1,-1,4.487409,2.5616677,0.04324242,0.7868559
16,6,1,1,-1,4.487409,2.561437,0.04324869,0.7868559
16,7,1,1,-1,4.487409,2.5616329,0.043226063,0.7868559
17,0,1,1,-1,4.487409,2.5614965,0.043325868,0.7868559
17,1,1,1,-1,4.487409,2.5618143,0.04339526,0.7868559
17,2,1,1,-1,4.487409,2.5616353,0.04326952,0.7868559
17,3,2,1,0,4.4647145,2.5819762,0.0,0.0
17,4,1,1,1,4.433665,2.7116647,0.017393861,0.0
17,5,2,1,0,4.4647183,2.6497586,0.0,0.0
17,6,1,1,-1,4.487409,2.5613773,0.043148518,0.7868559
17,7,1,1,-1,4.487409,2.5615294,0.0430549,0.7868559
18,0,1,1,-1,4.487409,2.5619047,0.043388285,0.7868559
18,1,1,1,-1,4.487409,2.5616105,0.043247156,0.7868559
18,2,2,1,0,4.4647183,2.6102579,0.0,0.0
18,3,1,1,0,4.499352,2.385582,0.0,5.559119
18,4,1,1,0,4.487409,2.4101775,0.0,5.8827434
18,5,1,1,-1,4.487409,2.5618238,0.043257985,0.7868559
18,6,1,1,-1,4.487409,2.5618293,0.043325216,0.7868559
18,7,1,1,-1,4.487409,2.561715,0.043436296,0.7868559
19,0,1,1,-1,4.487409,2.5614948,0.043236602,0.7868559
19,1,1,1,0,4.5005465,2.3627875,0.0,5.7385373
19,2,1,1,0,4.487409,2.4280722,0.0,6.301526
19,3,1,1,-1,4.487409,2.561507,0.043267116,0.7868559
19,4,1,1,-1,4.487409,2.5620365,0.043610934,0.7868559
19,5,1,1,-1,4.487409,2.5619342,0.043500353,0.7868559
19,6,1,1,0,4.487409,2.4209492,0.0,6.4479036
19,7,2,1,0,4.4647183,2.6111946,0.0,0.0
20,0,1,1,-1,4.487409,2.5615175,0.043273795,0.7868559
20,1,1,1,-1,4.487409,2.5618975,0.043488175,0.7868559
20,2,1,1,-1,4.487409,2.5612838,0.042999543,0.7868559
20,3,1,1,-1,4.487409,2.5618372,0.04334265,0.7868559
20,4,1,1,-1,4.487409,2.5617518,0.04325213,0.7868559
20,5,1,1,-1,4.487409,2.5618858,0.04335246,0.7868559
