method,difficulty,seed,qos_satisfaction_mean,qos_satisfaction_std,qos_detect,qos_track,qos_comm,qos_jam,dwell_detect,dwell_track,dwell_comm,dwell_jam,min_dwell_frac,n_episodes,n_rl_steps_total,n_classical_steps_total,rl_frac,wallclock_s,timestamp
classical,L0,42,0.856770,0.031565,0.999997,0.999886,0.508993,0.918203,0.120000,0.120000,0.120000,0.640000,0.120000,2,0,12,0.0000,2.93,2026-07-07 14:26:20
classical,L3,42,0.531152,0.073410,0.998654,0.099444,0.508293,0.518215,0.120000,0.120000,0.120000,0.640000,0.120000,2,0,12,0.0000,2.73,2026-07-07 14:26:23
concerto_v2,L0,42,0.856770,0.031565,0.999997,0.999886,0.508993,0.918203,0.120000,0.120000,0.120000,0.640000,0.120000,2,0,12,0.0000,2.64,2026-07-07 14:26:25
concerto_v2,L3,42,0.444663,0.037789,0.998554,0.033896,0.263097,0.483107,0.120000,0.120000,0.120000,0.640000,0.120000,2,59,1,0.9833,14.29,2026-07-07 14:26:40
