method,difficulty,seed,qos_satisfaction_mean,qos_satisfaction_std,qos_detect,qos_track,qos_comm,qos_jam,dwell_detect,dwell_track,dwell_comm,dwell_jam,min_dwell_frac,n_episodes,n_rl_steps_total,n_classical_steps_total,rl_frac,wallclock_s,timestamp
mappo,L3,46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,500,0,1.0000,111.48,2026-07-07 15:01:19
concerto_v1,L0,42,0.872138,0.057773,0.999997,0.999877,0.577734,0.910945,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,112.34,2026-07-07 15:03:12
concerto_v1,L0,43,0.855689,0.049455,0.999997,0.999877,0.511939,0.910945,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,111.36,2026-07-07 15:05:03
concerto_v1,L0,44,0.873366,0.060534,0.999997,0.999877,0.582644,0.910945,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,111.69,2026-07-07 15:06:55
concerto_v1,L0,45,0.849797,0.079941,0.999997,0.999877,0.488370,0.910945,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,113.08,2026-07-07 15:08:48
concerto_v1,L0,46,0.843414,0.005840,0.999997,0.999877,0.462838,0.910945,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,108.32,2026-07-07 15:10:36
concerto_v1,L1,42,0.522525,0.057325,0.998278,0.042365,0.576545,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,107.72,2026-07-07 15:12:24
concerto_v1,L1,43,0.506115,0.050497,0.998278,0.042365,0.510906,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,107.12,2026-07-07 15:14:11
concerto_v1,L1,44,0.523755,0.061277,0.998278,0.042365,0.581463,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,110.58,2026-07-07 15:16:02
concerto_v1,L1,45,0.500236,0.080591,0.998278,0.042365,0.487390,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,108.64,2026-07-07 15:17:50
concerto_v1,L1,46,0.493865,0.005182,0.998278,0.042365,0.461905,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,109.79,2026-07-07 15:19:40
concerto_v1,L3,42,0.512275,0.057308,0.998082,0.011915,0.576383,0.462719,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,109.78,2026-07-07 15:21:30
concerto_v1,L3,43,0.507552,0.050504,0.998866,0.031977,0.511333,0.488034,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,110.23,2026-07-07 15:23:20
concerto_v1,L3,44,0.559018,0.061262,0.999447,0.128305,0.582369,0.525951,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,109.34,2026-07-07 15:25:10
concerto_v1,L3,45,0.514403,0.080643,0.999205,0.064122,0.488004,0.506280,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,112.06,2026-07-07 15:27:02
concerto_v1,L3,46,0.497576,0.005195,0.998949,0.037132,0.462342,0.491880,0.120000,0.120000,0.120000,0.640000,0.120000,10,120,380,0.2400,110.44,2026-07-07 15:28:52
concerto_v2,L0,42,0.898244,0.064886,0.999997,0.999879,0.680845,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,12.76,2026-07-07 15:29:05
concerto_v2,L0,43,0.890060,0.056109,0.999997,0.999879,0.648111,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,12.67,2026-07-07 15:29:18
concerto_v2,L0,44,0.910519,0.072599,0.999997,0.999879,0.729946,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,12.69,2026-07-07 15:29:30
concerto_v2,L0,45,0.881877,0.090850,0.999997,0.999879,0.615377,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,12.84,2026-07-07 15:29:43
concerto_v2,L0,46,0.867556,0.010141,0.999997,0.999879,0.558093,0.912254,0.120000,0.120000,0.120000,0.640000,0.120000,10,0,60,0.0000,12.70,2026-07-07 15:29:56
concerto_v2,L1,42,0.452225,0.010379,0.998278,0.042365,0.295343,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,489,11,0.9780,112.44,2026-07-07 15:31:48
concerto_v2,L1,43,0.451246,0.010946,0.998278,0.042365,0.291427,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,489,11,0.9780,108.42,2026-07-07 15:33:37
concerto_v2,L1,44,0.447818,0.014916,0.998278,0.042365,0.277718,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,489,11,0.9780,110.31,2026-07-07 15:35:27
concerto_v2,L1,45,0.443649,0.009539,0.998278,0.042365,0.261039,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,489,11,0.9780,113.36,2026-07-07 15:37:20
concerto_v2,L1,46,0.445366,0.008562,0.998278,0.042365,0.267909,0.472913,0.120000,0.120000,0.120000,0.640000,0.120000,10,489,11,0.9780,111.56,2026-07-07 15:39:12
concerto_v2,L3,42,0.431455,0.012650,0.998082,0.011915,0.253104,0.462719,0.120000,0.120000,0.120000,0.640000,0.120000,10,499,1,0.9980,112.52,2026-07-07 15:41:05
concerto_v2,L3,43,0.442083,0.011307,0.998866,0.031977,0.249458,0.488034,0.120000,0.120000,0.120000,0.640000,0.120000,10,499,1,0.9980,111.44,2026-07-07 15:42:56
concerto_v2,L3,44,0.484912,0.014303,0.999447,0.128305,0.285946,0.525951,0.120000,0.120000,0.120000,0.640000,0.120000,10,499,1,0.9980,109.04,2026-07-07 15:44:45
concerto_v2,L3,45,0.460679,0.008825,0.999205,0.064122,0.273111,0.506280,0.120000,0.120000,0.120000,0.640000,0.120000,10,499,1,0.9980,112.35,2026-07-07 15:46:37
concerto_v2,L3,46,0.448040,0.011457,0.998949,0.037132,0.264197,0.491880,0.120000,0.120000,0.120000,0.640000,0.120000,10,499,1,0.9980,111.74,2026-07-07 15:48:29
