scenario,n_steps,n_envs,p_fa,miss_p,sigma_meas_m,trace_P_imm_mean,trace_P_sg_mean,rmse_imm_m,rmse_sg_m,init_frac_imm,init_frac_sg
linear,150,8,1e-06,0.0,30.0,106.97607014973958,71.70367075602213,39.46926918029785,6.698924009005228,1.0,1.0
j_turn,150,8,1e-06,0.0,30.0,103.41362368265787,71.70367075602213,26.728583113352457,95.8309804280599,1.0,1.0
high_clutter,150,8,0.05,0.0,30.0,109.88547096252441,76.08574091593424,39.70076948801677,424.729557800293,1.0,1.0
low_snr,150,8,1e-06,0.7,30.0,695.4126525878906,554.8170288085937,505.90634435017904,1939.2726745605469,1.0,1.0
